"time","velocity","count"
500,0,5
500,1,13
500,2,23
500,3,36
500,4,40
500,5,39
500,6,34
500,7,56
500,8,42
500,9,37
500,10,32
500,11,23
500,12,31
500,13,22
500,14,11
500,15,13
500,16,13
500,17,7
500,18,8
500,19,6
500,20,4
500,21,2
500,22,1
500,23,0
500,24,0
500,25,0
500,26,0
500,27,1
500,28,0
500,29,1
1000,0,0
1000,1,0
1000,2,0
1000,3,0
1000,4,0
1000,5,0
1000,6,0
1000,7,0
1000,8,0
1000,9,0
1000,10,0
1000,11,0
1000,12,0
1000,13,0
1000,14,0
1000,15,0
1000,16,0
1000,17,0
1000,18,0
1000,19,0
1000,20,0
1000,21,0
1000,22,0
1000,23,0
1000,24,0
1000,25,0
1000,26,0
1000,27,0
1000,28,0
1000,29,0
1500,0,0
1500,1,0
1500,2,0
1500,3,0
1500,4,0
1500,5,0
1500,6,0
1500,7,0
1500,8,0
1500,9,0
1500,10,0
1500,11,0
1500,12,0
1500,13,0
1500,14,0
1500,15,0
1500,16,0
1500,17,0
1500,18,0
1500,19,0
1500,20,0
1500,21,0
1500,22,0
1500,23,0
1500,24,0
1500,25,0
1500,26,0
1500,27,0
1500,28,0
1500,29,0
